DrugBank ID,Drug Name,Side Effects/Toxicity
DB00001,Lepirudin,"The acute toxicity of intravenous lepirudin was evaluated in mice (0.1-1000 mg/kg), rats (1-1000 mg/kg), and monkeys (1-100 mg/kg), and toxicity was not detected at the doses investigated.[L41539] The acute toxicity of lepirudin administered subcutaneously was also evaluated in mice (1-1250 mg/kg) and rats (1-500 mg/kg), and no toxicity was detected.[L41539] One rat (100 mg/kg) died of rapid blood loss after the subcutaneous administration of lepirudin. Reactions to local injections such as hemorrhages, hematomas and/or nodules were detected in mice and rats given subcutaneous doses of lepirudin equal or higher than 500 mg/kg and 10 mg/kg, respectively.[L41539]   Chronic toxicity was evaluated in rats and monkeys given lepirudin for up to 3 months. Most of the effects observed were due to the antithrombotic action of lepirudin. After 3 months, hemosiderin deposits in the spleen and moderate sinus histiocytosis in the lymph node were observed in rats. In monkeys, external and internal hemorrhages and hematomas were detected.[L41539] Lepidurin was reported as not mutagenic.[L41539]  Relative overdose may occur in patients with renal impairment, therefore, bolus dose and rate of infusion must be reduced in case of known or suspected renal insufficiency.[L41539] Excessively high activated partial thromboplastin time (aPTT) values suggest an overdose and a risk of bleeding. Lepirudin has no known antidote. In case of life-threatening bleeding and if excessive plasma levels of lepirudin are suspected: 1)stop the administration of lepirudin immediately, 2) determine aPTT and coagulation parameters, 3) determine hemoglobin, and prepare for a transfusion, 4) follow the treatment guidelines for patients with shock.[L41539] Hemofiltration or hemodialysis may be useful in case of overdose, based in single case reports and animal data.[L41539]"
DB00002,Cetuximab,"The intravenous LD<sub>50</sub> is > 300 mg/kg in mice and > 200 mg/kg in rats.[L31408] There is limited information on the overdose from cetuximab.  In clinical trials, cetuximab was associated with serious and fatal infusion reactions, cardiopulmonary arrest or sudden death, and serious dermatologic toxicities. Pulmonary toxicities, such as interstitial lung disease, interstitial pneumonitis with non-cardiogenic pulmonary edema, and exacerbation of pre-existing fibrotic lung disease have been reported.[L30448]"
DB00003,Dornase alfa,"Adverse reactions occur at a frequency of < 1/1000 and are usually mild and transient in nature. Reported adverse effects include chest pain (pleuritic/non-cardiac), fever, dyspepsia, voice alteration (hoarseness), pharyngitis, dyspnea, laryngitis, rhinitis, decreased lung function, rash, urticaria, and conjunctivitis. There is no evidence of carcinogenic or mutagenic properties. The safety of dornase alfa has not been studied in pregnant women, nursing women and children under the age of 5 years old."
DB00004,Denileukin diftitox,There is limited information regarding the acute toxicity (LD<sub>50</sub>) and overdose of denileukin diftitox.
DB00006,Bivalirudin,"Based on a study by Gleason et al., the no-observed-adverse-effect level (NOAEL) for bivalirudin, administered to rats via intravenous infusion over a 24-hour period, was 2000 mg/kg/24 h."
DB00007,Leuprolide,"Leuprolide is considered extremely safe, with low dose-related toxicity and comparatively mild adverse effects.[A203126] Prostate cancer patients treated with leuprolide at doses as high as 20 mg/day for two years showed no additional adverse effects compared to those receiving 1 mg/day.[L13814]"
DB00008,Peginterferon alfa-2a,"Peginterferon alfa-2a may manifest neuropsychiatric complications include suicide, suicidal ideation, homicidal ideation, depression, relapse of drug addiction, and drug overdose [FDA Label]. Hypertension, supraventricular arrhythmias, chest pain, and myocardial infarction have been observed in patients using Peginterferon alfa-2a. Peginterferon alfa-2a may produce myelosuppression as well as the development or aggravation of autoimmune disorders including myositis, hepatitis, thrombotic thrombocytopenic purpura, idiopathic thrombocytopenic purpura, psoriasis, rheumatoid arthritis, interstitial nephritis, thyroiditis, and systemic lupus erythematosus. Peginterferon alfa-2a causes or aggravates hypothyroidism and hyperthyroidism. Hyperglycemia, hypoglycemia, and diabetes mellitus have been observed to develop in patients treated with Peginterferon alfa-2a. Peginterferon alfa-2a may decrease or produce loss of vision, retinopathy including macular edema, retinal artery or vein thrombosis, retinal hemorrhages and cotton wool spots, optic neuritis, papilledema and serous retinal detachment. Peginterferon mayy be related to increased ischemic and hemorrhagic cerebrovascular events. Patients with cirrhosis on Peginterferon alfa-2a are at risk of hepatic decompensation. Dyspnea, pulmonary infiltrates, pneumonia, bronchiolitis obliterans, interstitial pneumonitis, pulmonary hypertension and sarcoidosis may be induced or aggravated by Peginterferon alfa-2a. Serious and severe infections (bacterial, viral, or fungal) have been reported during treatment with Peginterferon alfa-2a. Ulcerative and hemorrhagic/ischemic colitis have been observed within 12 weeks of starting Peginterferon alfa-2a treatment. Pancreatitis and peripheral nephropathy have also been reported. Peginterferon alfa-2a is associated with growth inhibition in pediatric patients. Use of Peginterferon alfa-2a while pregant may result in delopmental abnormalities or death of the fetus."
DB00009,Alteplase,"Toxicity information regarding alteplase is not readily available. Patients experiencing an overdose are at an increased risk of severe adverse effects such as risk of bleeding and thromboembolic events.[L43125] Symptomatic and supportive measures are recommended. The carcinogenic potential of alteplase or its effect on fertility have not been evaluated. _In vivo_ studies evaluating tumorigenicity and _in vitro_ studies evaluating mutagenicity were negative.[L43125] It has been estimated that the acute oral and dermal toxicity of alteplase is above 5,000 mg/kg.[L43175]"
DB00013,Urokinase,"Patients experiencing an overdose may present with bleeding.[L12141] Treat patients with symptomatic and supportive measures which may include application of local pressure, administration of whole blood or plasma, and administration of aminocaproic acid.[L12141]"
DB00014,Goserelin,No experience of overdosage from clinical trials.
DB00016,Erythropoietin,"Overdose from epoetin alfa include signs and symptoms associated with an excessive and/or rapid increase in hemoglobin concentration, including cardiovascular events. Patients with suspected or known overdose should be monitored closely for cardiovascular events and hematologic abnormalities. Polycythemia should be managed acutely with phlebotomy, as clinically indicated. Following resolution of the overdose, reintroduction of epoetin alfa therapy should be accompanied by close monitoring for evidence of rapid increases in hemoglobin concentration (>1 gm/dL per 14 days). In patients with an excessive hematopoietic response, reduce the dose in accordance with the recommendations described in the drug label [FDA Label]."
DB00017,Salmon calcitonin,"Salmon calcitonin was shown to inhibit lactation in animals and is not recommend in nursing mothers. While research in animals have shown a decrease in fetal weight, no studies have yet shown similar results in humans. It is recommended however to proceed carefully when administering salmon calcitonin to pregnant women and consider if the benefits outweigh the risks. Because of its protein nature, salmon calcitonin may provoke an allergy reaction (bronchospams and swelling of the tongue/throat) that can turn into a full-blown anaphylactic response. The manufacturer also reports an increase in the risk of malignancies from oral route (0.7%) to intranasal route (2.4%) compared to placebo. The same may apply to IV, IM and SC routes since the systemic exposure is higher in those cases. Nausea is noticeable in some patients but tends to decrease with continued administration. Rhinitis, headaches and back pain have also been reported among others."
DB00019,Pegfilgrastim,"The maximum safe dose of pegfilgrastim has not been established; however, the highest dose used in clinical trials was 300 mcg/kg.[A248855] Overdosage of pegfilgrastim may result in leukocytosis and bone pain. Events of edema, dyspnea, and pleural effusion have been reported in a single patient who self-administered pegfilgrastim on 8 consecutive days in error. In the event of overdose, the patient should be monitored for signs and symptoms of toxicity and responded with appropriate general supportive care.[L9746,A248855]"
DB00022,Peginterferon alfa-2b,"Peginterferon alfa-2b may manifest neuropsychiatric complications include suicide, suicidal ideation, homicidal ideation, depression, relapse of drug addiction, and drug overdose [FDA Label]. Hypertension, supraventricular arrhythmias, chest pain, and myocardial infarction have been observed in patients using Peginterferon alfa-2b. Peginterferon alfa-2b may produce myelosuppression as well as the development or aggravation of autoimmune disorders including myositis, hepatitis, thrombotic thrombocytopenic purpura, idiopathic thrombocytopenic purpura, psoriasis, rheumatoid arthritis, interstitial nephritis, thyroiditis, and systemic lupus erythematosus. Peginterferon alfa-2b causes or aggravates hypothyroidism and hyperthyroidism. Hyperglycemia, hypoglycemia, and diabetes mellitus have been observed to develop in patients treated with Peginterferon alfa-2b. Peginterferon alfa-2b may decrease or produce loss of vision, retinopathy including macular edema, retinal artery or vein thrombosis, retinal hemorrhages and cotton wool spots, optic neuritis, papilledema and serous retinal detachment. Peginterferon mayy be related to increased ischemic and hemorrhagic cerebrovascular events. Patients with cirrhosis on Peginterferon alfa-2b are at risk of hepatic decompensation. Dyspnea, pulmonary infiltrates, pneumonia, bronchiolitis obliterans, interstitial pneumonitis, pulmonary hypertension and sarcoidosis may be induced or aggravated by Peginterferon alfa-2b. Serious and severe infections (bacterial, viral, or fungal) have been reported during treatment with Peginterferon alfa-2b. Ulcerative and hemorrhagic/ischemic colitis have been observed within 12 weeks of starting Peginterferon alfa-2b treatment. Pancreatitis and peripheral nephropathy have also been reported. Peginterferon alfa-2b is associated with growth inhibition in pediatric patients. Use of Peginterferon alfa-2b while pregant may result in delopmental abnormalities or death of the fetus."
DB00023,Asparaginase Escherichia coli,"No studies assessing the mutagenic or carcinogenic potential of _E. coli_ L-asparagine have been conducted. In the Ames assay, no mutagenic effect was demonstrated when tested against Salmonella typhimurium strains [FDA Label]. No studies have been performed on impairment of fertility [FDA Label]. Following a single, intravenous injection of 12,500 to 50,000 International Units L-asparagine/kg in rabbits, edema and necrosis of pancreatic islets were observed. The clinical relevance of this finding is unclear as it does not indicate pancreatitis [FDA Label]."
DB00024,Thyrotropin alfa,"No difference in efficacy and toxicity between adult and geriatric patients. No studies in lactating women, pregnant women and pediatrics. Cautionary administration is advised."
